# arch=ppc sdk=/Developer/SDKs/MacOSX10.5.sdk cc=/usr/bin/gcc-4.0 inode64=True
F	glob_t	gl_pathv	16	4
S	addrinfo	struct addrinfo	32	4
F	addrinfo	ai_flags	0	4
F	addrinfo	ai_family	4	4
F	addrinfo	ai_socktype	8	4
F	addrinfo	ai_protocol	12	4
F	addrinfo	ai_addrlen	16	4
F	addrinfo	ai_canonname	20	4
F	addrinfo	ai_addr	24	4
F	addrinfo	ai_next	28	4
S	mach_timebase_info	struct mach_timebase_info	8	4
F	mach_timebase_info	numer	0	4
F	mach_timebase_info	denom	4	4
S	mach_timebase_info	mach_timebase_info	1	4
S	stat	struct stat	108	4
F	stat	st_dev	0	4
F	stat	st_mode	4	2
F	stat	st_nlink	6	2
F	stat	st_ino	8	8
F	stat	st_uid	16	4
F	stat	st_gid	20	4
F	stat	st_rdev	24	4
F	stat	st_atime	28	4
F	stat	st_mtime	36	4
F	stat	st_ctime	44	4
F	stat	st_birthtime	52	4
F	stat	st_size	60	8
F	stat	st_blocks	68	8
F	stat	st_blksize	76	4
F	stat	st_flags	80	4
F	stat	st_gen	84	4
F	stat	st_lspare	88	4
F	stat	st_qspare	92	16
S	stat	stat	1	4
S	pthread_mutexattr_t	pthread_mutexattr_t	12	4
F	pthread_mutexattr_t	__sig	0	4
F	pthread_mutexattr_t	__opaque	4	8
S	pthread_condattr_t	pthread_condattr_t	8	4
F	pthread_condattr_t	__sig	0	4
F	pthread_condattr_t	__opaque	4	4
S	pthread_rwlockattr_t	pthread_rwlockattr_t	16	4
F	pthread_rwlockattr_t	__sig	0	4
F	pthread_rwlockattr_t	__opaque	4	12
S	siginfo_t	siginfo_t	64	4
F	siginfo_t	si_signo	0	4
F	siginfo_t	si_errno	4	4
F	siginfo_t	si_code	8	4
F	siginfo_t	si_pid	12	4
F	siginfo_t	si_uid	16	4
F	siginfo_t	si_status	20	4
F	siginfo_t	si_addr	24	4
S	sigaction	struct sigaction	12	4
F	sigaction	sa_sigaction	0	4
F	sigaction	sa_mask	4	4
F	sigaction	sa_flags	8	4
S	sigaction	sigaction	1	4
S	stack_t	stack_t	12	4
F	stack_t	ss_sp	0	4
F	stack_t	ss_size	4	4
F	stack_t	ss_flags	8	4
S	fstore_t	fstore_t	32	4
F	fstore_t	fst_flags	0	4
F	fstore_t	fst_posmode	4	4
F	fstore_t	fst_offset	8	8
F	fstore_t	fst_length	16	8
F	fstore_t	fst_bytesalloc	24	8
S	radvisory	struct radvisory	16	8
F	radvisory	ra_offset	0	8
F	radvisory	ra_count	8	4
S	statvfs	struct statvfs	44	4
F	statvfs	f_bsize	0	4
F	statvfs	f_frsize	4	4
F	statvfs	f_blocks	8	4
F	statvfs	f_bfree	12	4
F	statvfs	f_bavail	16	4
F	statvfs	f_files	20	4
F	statvfs	f_ffree	24	4
F	statvfs	f_favail	28	4
F	statvfs	f_fsid	32	4
F	statvfs	f_flag	36	4
F	statvfs	f_namemax	40	4
S	statvfs	statvfs	1	4
S	sockaddr_in	struct sockaddr_in	16	4
F	sockaddr_in	sin_len	0	1
F	sockaddr_in	sin_family	1	1
F	sockaddr_in	sin_port	2	2
F	sockaddr_in	sin_addr	4	4
F	sockaddr_in	sin_zero	8	8
S	dqblk	struct dqblk	64	8
F	dqblk	dqb_bhardlimit	0	8
F	dqblk	dqb_bsoftlimit	8	8
F	dqblk	dqb_curbytes	16	8
F	dqblk	dqb_ihardlimit	24	4
F	dqblk	dqb_isoftlimit	28	4
F	dqblk	dqb_curinodes	32	4
F	dqblk	dqb_btime	36	4
F	dqblk	dqb_itime	40	4
F	dqblk	dqb_id	44	4
F	dqblk	dqb_spare	48	16
S	if_msghdr	struct if_msghdr	112	4
F	if_msghdr	ifm_msglen	0	2
F	if_msghdr	ifm_version	2	1
F	if_msghdr	ifm_type	3	1
F	if_msghdr	ifm_addrs	4	4
F	if_msghdr	ifm_flags	8	4
F	if_msghdr	ifm_index	12	2
F	if_msghdr	ifm_data	16	96
S	ifa_msghdr	struct ifa_msghdr	20	4
F	ifa_msghdr	ifam_msglen	0	2
F	ifa_msghdr	ifam_version	2	1
F	ifa_msghdr	ifam_type	3	1
F	ifa_msghdr	ifam_addrs	4	4
F	ifa_msghdr	ifam_flags	8	4
F	ifa_msghdr	ifam_index	12	2
F	ifa_msghdr	ifam_metric	16	4
S	ifma_msghdr	struct ifma_msghdr	16	4
F	ifma_msghdr	ifmam_msglen	0	2
F	ifma_msghdr	ifmam_version	2	1
F	ifma_msghdr	ifmam_type	3	1
F	ifma_msghdr	ifmam_addrs	4	4
F	ifma_msghdr	ifmam_flags	8	4
F	ifma_msghdr	ifmam_index	12	2
S	ifma_msghdr2	struct ifma_msghdr2	20	4
F	ifma_msghdr2	ifmam_msglen	0	2
F	ifma_msghdr2	ifmam_version	2	1
F	ifma_msghdr2	ifmam_type	3	1
F	ifma_msghdr2	ifmam_addrs	4	4
F	ifma_msghdr2	ifmam_flags	8	4
F	ifma_msghdr2	ifmam_index	12	2
F	ifma_msghdr2	ifmam_refcount	16	4
S	rt_metrics	struct rt_metrics	56	4
F	rt_metrics	rmx_locks	0	4
F	rt_metrics	rmx_mtu	4	4
F	rt_metrics	rmx_hopcount	8	4
F	rt_metrics	rmx_expire	12	4
F	rt_metrics	rmx_recvpipe	16	4
F	rt_metrics	rmx_sendpipe	20	4
F	rt_metrics	rmx_ssthresh	24	4
F	rt_metrics	rmx_rtt	28	4
F	rt_metrics	rmx_rttvar	32	4
F	rt_metrics	rmx_pksent	36	4
F	rt_metrics	rmx_filler	40	16
S	rt_msghdr	struct rt_msghdr	92	4
F	rt_msghdr	rtm_msglen	0	2
F	rt_msghdr	rtm_version	2	1
F	rt_msghdr	rtm_type	3	1
F	rt_msghdr	rtm_index	4	2
F	rt_msghdr	rtm_flags	8	4
F	rt_msghdr	rtm_addrs	12	4
F	rt_msghdr	rtm_pid	16	4
F	rt_msghdr	rtm_seq	20	4
F	rt_msghdr	rtm_errno	24	4
F	rt_msghdr	rtm_use	28	4
F	rt_msghdr	rtm_inits	32	4
F	rt_msghdr	rtm_rmx	36	56
S	rt_msghdr2	struct rt_msghdr2	92	4
F	rt_msghdr2	rtm_msglen	0	2
F	rt_msghdr2	rtm_version	2	1
F	rt_msghdr2	rtm_type	3	1
F	rt_msghdr2	rtm_index	4	2
F	rt_msghdr2	rtm_flags	8	4
F	rt_msghdr2	rtm_addrs	12	4
F	rt_msghdr2	rtm_refcnt	16	4
F	rt_msghdr2	rtm_parentflags	20	4
F	rt_msghdr2	rtm_reserved	24	4
F	rt_msghdr2	rtm_use	28	4
F	rt_msghdr2	rtm_inits	32	4
F	rt_msghdr2	rtm_rmx	36	56
S	termios	struct termios	44	4
F	termios	c_iflag	0	4
F	termios	c_oflag	4	4
F	termios	c_cflag	8	4
F	termios	c_lflag	12	4
F	termios	c_cc	16	20
F	termios	c_ispeed	36	4
F	termios	c_ospeed	40	4
S	flock	struct flock	24	8
F	flock	l_start	0	8
F	flock	l_len	8	8
F	flock	l_pid	16	4
F	flock	l_type	20	2
F	flock	l_whence	22	2
S	flock	flock	1	4
S	sf_hdtr	struct sf_hdtr	16	4
F	sf_hdtr	headers	0	4
F	sf_hdtr	hdr_cnt	4	4
F	sf_hdtr	trailers	8	4
F	sf_hdtr	trl_cnt	12	4
S	lconv	struct lconv	56	4
F	lconv	decimal_point	0	4
F	lconv	thousands_sep	4	4
F	lconv	grouping	8	4
F	lconv	int_curr_symbol	12	4
F	lconv	currency_symbol	16	4
F	lconv	mon_decimal_point	20	4
F	lconv	mon_thousands_sep	24	4
F	lconv	mon_grouping	28	4
F	lconv	positive_sign	32	4
F	lconv	negative_sign	36	4
